AcnR	16643.16569
AgaR	85180.76995999977
AmtR	53063.75230099995
AraR	58131.41410999998
ArgR	475982.79471699864
BioQ	28723.82938999999
BirA	294724.00289700023
CadR-PbrR	98015.26534
CblR	51322.888100000106
CcpA	96408.20778999997
CsoR	29284.854619999976
CueR	97254.59845600027
CzrA	201730.7968199992
DasR	22583.51735000001
ExuR_UxuR	85693.6087690002
FUR	473985.49824999756
FabR	62230.56047000007
FadP	10091.44592000001
FadR	35355.33545999999
FixJ	14362.426890000004
FnrN_FixK	60490.47916000006
FruR	39712.43456000003
GguR	16263.523953999998
GlcC	45588.54073199994
GntR	77435.82223599996
GulR	42876.46051000004
HcpR	81951.88196000003
HexR	123299.3954500003
HisR	69330.47154000001
HrcA	138908.8697180004
HutC	128215.05049000015
HypR	75495.54098400006
Irr	62064.68078999997
IscR	256659.16157999937
KdgR	206351.53362000018
LexA	259507.2288299995
LiuQ	32870.062260000006
LiuR	69959.13568599978
LldR	178819.81073799997
LtbR	52351.485550000005
MerR	22843.360039999985
MetJ	20052.282269999985
MetR	270434.2683399996
MntR	371664.92830199754
ModE	321228.1408510002
NadQ	119345.90496000006
NagC	388639.0915359983
NagQ	127855.5055880004
NagR	85355.83828999996
NarP	27773.116020000016
NiaR	63158.694880000075
NifA	21424.037399999987
NikR	53176.480159999985
NmlR	38203.36189999995
NnrR	58720.07474
NorR	76798.21358
NrdR	216034.68185000005
NrtR	594465.789837
NsrR	365875.5693799967
NtrC	114543.91100000024
PaaR	86874.31666999978
PdhR	65670.33833000007
PdxR	227183.17116199926
PhnF	88202.12531000009
PhnR	81365.60950999994
Phr	173481.0765960002
PhrR	63813.46761999987
PhsR	23252.294109999984
PrpR	45664.191689999985
PsrA	159508.03321000072
PurR	22141.885380000003
QorR	38417.27413000001
RbkR	146040.39457600005
RbsR	98739.46097000017
Rex	186473.8797439999
RutR	162274.2555000002
SahR_SamR	264315.9697860004
SdaR	113340.19384000011
SiaR	60895.745479999954
SoxR	85332.09972500021
ThiR	166892.90754999974
TrpR	76049.48894000021
TtrR	30132.398933000022
TyrR	90790.6620700003
VanR	61214.28027300007
XylR	75127.25060000001
ZntR	39473.06118999997
Zur	525463.1371669959
count_pre_calls 2480451
count_calls 2492483
