Feature	S9_Z05
acot8	12.5938
acot9	0
acox	44.377869999999994
acox1	0
acox2	0
acox3	0
acp	3.21313
acp1	9.67702
acp2	0
acp5	0
acp6	3.67363
acp7	0
acpa	0
acpc	0
acpd	0
acph	1493.51993
acpk	0
acpm	15.76097
acpp	10110.023060000003
acpp-1	11.0185
acpp_1	0
acpp1	0
acpp_2	3.62101
acpp2	82.53224
acpp3	0
acpp-7	0
acps	6159.605449999997
acps-2	0
acpt	57.60715
acpt2	22.591639999999998
acpxl	19.49269
acr	0
acr1	0
acr-17	0
acr-20	0
acr-25	0
acr3	525.12262
acr4	0
acra	92.81411
acra1	0
acra1_1	0
acrb	100.81189
acrb1	0
acrc	16.0958
acrd	204.78280999999998
acrd4	226.62917000000002
acre	115.76616
acrf	19.60356
acrr	44.88213
acrr_2	0
acs	32.80918
acs1	154.98135000000002
acs11	0
acs12	0
acs-2	59.42907
acs2	56.86086
acs4	0
acs6	8.14854
acs7	0
acs8	0
acsa	12990.98247
acsa_1	149.80495
acsa1	2764.92705
acsa_2	10.8724
acsa2	35.662459999999996
acsa4	0
acsb	3.96774
acsbg1	9.11131
acsbg2	9.59039
acsc	0
acsd	0
acse	1034.84789
acsf	1006.09586
acsf2	36.83057
acsf3	35.95771
acsl1	0
acsl3	0
acsl4	0
acsl5	0
acsl6	0
acsm1	0
acsm2b	0
acsm3	0
acsm4	0
acsm5	0
acsm6	0
acss1	0
acss2	6.57701
acss3	35.53074
act	3.60695
act1	21.667250000000003
act11	0
act12	0
act2	0
acta	2004.4480999999998
acta1	0
acta2	0
actb	43.42179
actbl2	0
actc	246.03299
actc1	0
actcd	0
actd	2466.47304
acte	2416.7543699999997
actf	2757.344310000002
actg1	0
actg2	0
acti	0
actii-2	0
actii-3	0
actin	0
actl10	0
actl6a	0
actl7a	0
actl7b	0
actl8	0
actl9	5.87057
actn1	0
actn2	0
actn3	0
actn4	0
actp	2328.015900000001
actp_1	5.21259
actp_2	0
actr	3.52922
actr10	2.93333
actr1a	0
actr1b	0
actr2	0
actr3	0
actr3b	0
actr5	0
actr6	0
actr8	0
actrt1	0
actrt2	3.2
actrt3	0
actvb	0
acua	0
acub	52.726440000000004
acuc	3021.2683
acuc1	0
acuc2	24.1824
acui	2932.1471199999983
acvb	0
acvr1	0
acvr1b	0
acvr1c	0
acvr2a	0
acvr2b	0
acvrl1	0
acx	8.63943
acx4	0
acx5	0
acx6	0
acxa	5.48218
acxb	11.0048
acxc	0
acxr	0
acy1	3.65914
acy-2	0
acy3	0
acy-4	0
acyg	0
acyi	29.0687
acyii	81.22568
acyp	578.0988500000001
acyp1	3.46137
acyp2	0
ada	4452.348110000003
ada2	0
adaa	0
adaa1	17.4645
adab	103.97779999999999
adad1	0
adal	0
adam10	0
adam11	0
adam15	0
adam17	0
adam18	0
adam19	0
adam1b	0
adam2	0
adam20	0
adam22	0
adam23	3.17895
adam28	0
adam29	0
adam30	0
adam32	0
adam33	0
adam5	0
adam8	0
adam9	0
adamts1	0
adamts10	0
adamts12	0
adamts13	0
adamts14	0
adamts16	0
adamts17	0
adamts18	0
adamts19	0
adamts2	0
adamts20	0
adamts3	0
adamts5	0
adamts6	0
adamts7	0
adamts8	0
adamts9	0
adamtsl1	0
adamtsl2	0
adamtsl3	0
adamtsl4	0
adamtsl5	0
adap2	0
adar	0
adarb1	0
adarb2	0
adat1	3.87793
adat2	0
adat3	0
adc	19.32088
adc1	0
adc3	0
adca	818.47442
adcb	58.396919999999994
adcc	0
adck1	0
adck2	0
adck3	0
adck4	10.5122
adck5	0
adcr	0
adcy1	0
adcy10	0
adcy2	0
adcy3	0
adcy4	0
adcy5	0
